Provider_ID,Quarter,Staff_to_Patient_Ratio,RN_Hours_per_Patient_Day,Agency_Staff_Percent,Readmission_Cost_per_Case
50054,2025-01-01,4.25,7.09,12.1,19060.97
50054,2025-04-01,4.32,7.26,12.58,17974.58
50054,2025-07-01,4.24,7.38,10.41,17445.18
50103,2024-01-01,5.84,6.85,1.0,11174.39
50103,2024-04-01,5.48,7.47,0.3,11805.1
50103,2024-07-01,5.45,8.24,0.85,12029.09
50103,2024-10-01,5.83,7.38,0.44,10961.28
50103,2025-01-01,5.61,7.7,1.68,11643.97
50103,2025-04-01,5.97,7.44,1.52,10620.42
50103,2025-07-01,5.46,7.09,1.94,11939.19
50138,2024-01-01,5.77,5.61,7.03,16319.74
50138,2024-04-01,5.5,5.84,7.23,17199.62
50138,2024-07-01,5.52,6.24,7.93,16753.1
50138,2024-10-01,5.97,5.92,7.58,16765.29
50138,2025-01-01,6.03,6.13,7.61,16780.08
50138,2025-04-01,5.73,6.26,4.35,16891.91
50138,2025-07-01,6.28,5.32,4.99,15847.35
50145,2024-01-01,6.4,9.06,12.39,15037.16
50145,2024-04-01,6.69,9.61,13.49,14768.8
50145,2024-07-01,6.4,9.24,9.97,14127.42
50145,2024-10-01,6.83,9.72,10.22,14722.09
50145,2025-01-01,6.94,9.57,11.3,14529.29
50145,2025-04-01,6.81,9.98,9.62,14373.19
50145,2025-07-01,7.29,10.42,10.03,14325.06
50224,2024-01-01,6.47,11.27,13.24,16715.87
50224,2024-04-01,5.88,11.89,15.62,16449.87
50224,2024-07-01,5.86,11.74,14.33,17060.44
50224,2024-10-01,6.16,11.83,14.51,16631.38
50224,2025-01-01,6.41,12.42,13.4,15984.92
50224,2025-04-01,6.28,12.35,11.24,16627.59
50224,2025-07-01,6.17,12.64,12.63,16405.45
50280,2024-01-01,5.54,10.77,0.0,12733.64
50280,2024-04-01,4.88,11.63,2.63,12572.02
50280,2024-07-01,5.42,11.07,0.0,11785.39
50280,2024-10-01,6.01,10.76,0.78,12936.73
50280,2025-01-01,5.86,11.34,0.69,11465.77
50280,2025-04-01,5.96,12.15,0.0,12708.95
50280,2025-07-01,6.17,11.72,0.0,12037.5
50309,2024-01-01,4.21,7.87,15.56,16010.59
50309,2024-04-01,4.37,7.08,17.71,16966.01
50309,2024-07-01,4.16,8.35,16.92,17791.89
50309,2024-10-01,4.77,8.08,17.05,16889.06
50309,2025-01-01,4.7,8.07,15.41,16781.88
50309,2025-04-01,4.83,8.15,15.85,16377.37
50309,2025-07-01,4.42,8.09,14.41,15517.5
50488,2024-01-01,2.99,8.12,10.34,12112.45
50488,2024-04-01,3.41,8.15,9.75,12280.17
50488,2024-07-01,3.18,8.3,8.71,11753.78
50488,2024-10-01,3.53,8.27,7.71,11960.3
50488,2025-01-01,3.03,7.95,7.62,12748.15
50488,2025-04-01,3.8,8.16,7.24,12026.68
50488,2025-07-01,3.79,8.57,8.45,12057.64
50567,2024-01-01,4.13,4.84,0.13,13687.84
50567,2024-04-01,4.35,5.43,1.58,13387.0
50567,2024-07-01,3.83,4.94,3.96,14925.35
50567,2024-10-01,3.83,5.65,2.51,14213.0
50567,2025-01-01,4.31,5.66,2.47,14001.76
50567,2025-04-01,4.02,5.26,0.51,14405.08
50567,2025-07-01,4.67,5.6,3.1,13817.88
50684,2024-01-01,3.47,9.77,4.91,13793.46
50684,2024-04-01,3.71,9.92,2.85,12671.12
50684,2024-07-01,3.52,9.56,3.5,13404.91
50684,2024-10-01,3.63,10.45,3.99,13678.39
50684,2025-01-01,3.65,9.82,3.21,13319.04
50684,2025-04-01,4.3,10.25,1.56,12615.1
50684,2025-07-01,3.97,10.19,2.99,12829.02
51310,2024-01-01,3.11,11.0,8.55,15110.69
51310,2024-04-01,2.84,11.29,7.0,15438.65
51310,2024-07-01,2.93,11.53,8.39,15169.79
51310,2024-10-01,3.36,11.2,6.36,15794.35
51310,2025-01-01,3.69,12.29,6.58,15838.67
51310,2025-04-01,3.74,11.86,9.58,15818.97
51310,2025-07-01,3.98,11.72,5.77,15302.16
51317,2024-01-01,4.06,7.95,1.38,9127.26
51317,2024-04-01,4.61,7.55,3.14,9186.07
51317,2024-07-01,4.51,7.86,2.54,9285.83
51317,2024-10-01,4.86,7.29,0.26,9285.94
51317,2025-01-01,4.82,8.02,2.4,9939.2
51317,2025-04-01,4.57,7.73,2.41,10150.09
51317,2025-07-01,4.39,7.59,1.24,9352.05
70006,2024-01-01,3.4,6.91,1.35,16291.61
70006,2024-04-01,3.71,7.36,2.21,16954.41
70006,2024-07-01,3.47,6.9,1.69,15849.79
70006,2024-10-01,4.05,6.72,3.7,16652.28
70006,2025-01-01,4.19,7.49,0.77,15661.03
70006,2025-04-01,3.99,6.88,2.43,16809.18
70006,2025-07-01,4.19,7.06,2.62,16011.55
70029,2024-01-01,6.6,8.3,18.1,11174.79
70029,2024-04-01,7.2,8.59,18.01,10726.26
70029,2024-07-01,7.12,7.47,16.85,9039.43
70029,2024-10-01,7.1,8.75,14.97,9994.73
70029,2025-01-01,7.42,9.45,15.78,10427.61
70029,2025-04-01,7.74,8.4,15.33,10082.82
70029,2025-07-01,7.38,8.58,16.02,10322.12
80003,2024-01-01,3.28,9.77,6.66,16877.32
80003,2024-04-01,3.83,8.94,7.16,17604.91
80003,2024-07-01,3.94,9.08,7.12,17146.58
80003,2024-10-01,4.01,10.18,8.44,17927.69
80003,2025-01-01,3.98,10.02,6.63,17246.94
80003,2025-04-01,4.01,9.59,5.95,17354.14
80003,2025-07-01,4.13,10.18,5.85,17351.37
100054,2024-01-01,2.72,6.89,3.61,15871.79
100054,2024-04-01,3.27,7.44,3.81,15972.75
100054,2024-07-01,2.71,7.27,1.24,15711.73
100054,2024-10-01,3.52,7.88,3.55,15490.47
100054,2025-01-01,3.22,7.54,4.26,15658.53
100054,2025-04-01,3.61,7.28,4.18,16017.12
100054,2025-07-01,3.26,7.39,2.6,15884.39
100137,2024-01-01,7.0,11.31,14.88,15773.27
100137,2024-04-01,6.58,12.06,12.99,16213.22
100137,2024-07-01,6.85,11.8,12.81,15087.22
100137,2024-10-01,7.17,12.12,12.41,14908.92
100137,2025-01-01,6.46,11.94,12.56,16152.77
100137,2025-04-01,7.22,12.88,12.31,15266.3
100137,2025-07-01,7.21,12.54,11.39,14661.79
100183,2024-01-01,6.53,6.27,6.97,13505.73
100183,2024-04-01,6.78,6.61,8.71,13589.09
100183,2024-07-01,6.81,6.51,6.22,13107.7
100183,2024-10-01,6.34,6.85,8.01,13801.45
100183,2025-01-01,6.51,6.37,7.12,13070.15
100183,2025-04-01,7.02,6.64,5.87,12893.71
100183,2025-07-01,6.9,6.49,6.52,12723.55
100204,2024-01-01,6.11,5.91,4.03,15519.29
100204,2024-04-01,6.6,6.22,2.5,15235.38
100204,2024-07-01,6.18,5.57,1.99,15324.16
100204,2024-10-01,6.88,6.2,3.5,15668.45
100204,2025-01-01,7.06,6.49,1.87,15274.9
100204,2025-04-01,6.94,6.97,0.0,14247.53
100204,2025-07-01,6.81,6.43,0.82,14563.83
100209,2024-01-01,4.88,10.08,12.67,9148.31
100209,2024-04-01,4.9,10.59,12.68,9687.99
100209,2024-07-01,5.13,11.26,11.48,9570.89
100209,2024-10-01,5.17,10.96,12.39,9656.17
100209,2025-01-01,5.99,11.53,11.51,9319.55
100209,2025-04-01,6.42,10.86,10.58,9352.88
100209,2025-07-01,5.39,11.22,11.68,9208.69
100244,2024-01-01,6.81,7.52,6.0,8255.3
100244,2024-04-01,5.82,6.8,4.55,7603.61
100244,2024-07-01,6.88,7.34,7.52,8653.16
100244,2024-10-01,6.7,7.61,6.83,8235.59
100244,2025-01-01,7.17,7.3,4.85,7591.43
100244,2025-04-01,7.18,7.29,5.87,8412.81
100244,2025-07-01,7.68,8.09,4.71,8542.86
110030,2024-01-01,4.42,7.43,12.36,18377.84
110030,2024-04-01,4.73,7.81,10.54,17755.41
110030,2024-07-01,5.25,7.97,11.94,17469.72
110030,2024-10-01,4.87,8.2,10.6,17067.03
110030,2025-01-01,5.23,8.51,12.02,18028.01
110030,2025-04-01,5.16,8.16,10.28,17024.84
110030,2025-07-01,5.43,8.39,11.22,16413.23
110038,2024-01-01,4.85,8.92,0.92,15056.8
110038,2024-04-01,4.94,7.56,0.35,15225.51
110038,2024-07-01,4.86,7.98,0.0,14894.32
110038,2024-10-01,5.23,8.73,0.0,13751.88
110038,2025-01-01,5.59,7.58,0.0,14145.16
110038,2025-04-01,5.4,8.77,0.65,15499.34
110038,2025-07-01,5.66,8.19,1.28,14443.69
110041,2024-01-01,5.86,7.04,11.01,9424.52
110041,2024-04-01,5.31,7.98,11.18,9506.0
110041,2024-07-01,6.23,7.98,13.4,9198.66
110041,2024-10-01,6.03,7.98,9.94,8525.38
110041,2025-01-01,6.47,7.65,11.16,8886.77
110041,2025-04-01,6.35,7.53,10.38,9642.75
110041,2025-07-01,6.31,7.88,9.39,8671.54
110128,2024-01-01,4.84,5.02,18.77,13347.78
110128,2024-04-01,4.59,5.76,17.49,12141.97
110128,2024-07-01,5.06,5.72,16.92,12666.43
110128,2024-10-01,5.51,4.57,16.07,12223.9
110128,2025-01-01,5.02,6.07,14.96,12463.69
110128,2025-04-01,5.0,6.2,15.15,12543.03
110128,2025-07-01,5.64,5.95,15.16,12366.48
111313,2024-01-01,6.7,6.86,1.14,8931.43
111313,2024-04-01,7.17,6.54,3.1,8110.87
111313,2024-07-01,7.7,6.46,3.08,8949.51
111313,2024-10-01,7.46,6.74,0.62,8495.66
111313,2025-01-01,7.7,6.57,1.64,8747.27
111313,2025-04-01,7.88,6.86,0.0,7773.37
111313,2025-07-01,7.57,6.99,0.34,7085.86
111335,2024-01-01,5.17,8.25,7.88,10164.02
111335,2024-04-01,5.12,8.18,7.11,9363.04
111335,2024-07-01,5.03,8.98,7.17,10115.34
111335,2024-10-01,5.7,8.68,8.1,8784.5
111335,2025-01-01,5.37,8.98,7.02,8544.91
111335,2025-04-01,4.95,8.1,6.94,9647.59
111335,2025-07-01,4.97,8.74,6.52,9976.75
120028,2024-01-01,6.93,6.17,4.34,9888.04
120028,2024-04-01,6.74,6.23,3.67,9952.28
120028,2024-07-01,6.94,5.8,3.06,9614.37
120028,2024-10-01,6.99,6.48,2.16,9703.45
120028,2025-01-01,7.62,6.41,3.06,10018.19
120028,2025-04-01,7.21,7.05,3.33,10021.4
120028,2025-07-01,7.94,5.72,1.45,9595.3
130013,2024-01-01,5.86,8.36,11.39,16444.28
130013,2024-04-01,7.3,8.47,9.21,16096.73
130013,2024-07-01,7.14,8.96,9.95,16797.31
130013,2024-10-01,7.18,8.11,9.95,16586.46
130013,2025-01-01,7.43,8.87,10.54,16508.88
130013,2025-04-01,6.92,8.59,10.97,16353.63
130013,2025-07-01,7.13,8.75,9.82,15430.39
140007,2024-01-01,5.61,6.36,2.34,14661.46
140007,2024-04-01,5.57,5.97,3.26,15534.93
140007,2024-07-01,5.78,6.36,3.37,15179.93
140007,2024-10-01,5.59,6.51,4.0,14441.55
140007,2025-01-01,6.52,6.51,3.46,14654.25
140007,2025-04-01,5.88,5.81,3.79,14805.49
140007,2025-07-01,6.01,6.2,2.61,14718.97
140002,2024-01-01,6.88,7.82,8.39,16908.78
140002,2024-04-01,6.8,8.4,7.62,16419.63
140002,2024-07-01,7.08,8.1,6.72,16115.12
140002,2024-10-01,7.19,8.27,9.74,15746.77
140002,2025-01-01,7.34,8.36,6.73,16347.52
140002,2025-04-01,7.84,8.63,4.19,16201.43
140002,2025-07-01,8.09,7.89,5.56,15700.67
140015,2024-01-01,3.58,10.34,15.42,16847.96
140015,2024-04-01,3.58,10.0,16.61,16744.19
140015,2024-07-01,3.69,10.38,15.71,17152.91
140015,2024-10-01,3.67,10.64,14.31,16640.42
140015,2025-01-01,3.86,10.88,17.93,16411.28
140015,2025-04-01,4.31,11.35,14.51,16373.49
140015,2025-07-01,4.01,10.8,14.78,15782.47
140018,2024-01-01,6.75,6.82,13.58,11192.33
140018,2024-04-01,6.4,7.57,12.95,12097.68
140018,2024-07-01,6.79,7.17,14.18,11639.13
140018,2024-10-01,6.38,7.1,11.78,11873.39
140018,2025-01-01,7.59,6.75,12.96,10974.12
140018,2025-04-01,7.16,6.62,12.71,12308.1
140018,2025-07-01,7.32,7.86,12.04,11175.27
140052,2024-01-01,4.26,8.82,3.14,16595.92
140052,2024-04-01,4.23,8.86,4.41,17746.21
140052,2024-07-01,4.35,9.0,2.51,17040.68
140052,2024-10-01,4.65,9.2,0.94,16526.56
140052,2025-01-01,4.49,9.3,1.52,16901.57
140052,2025-04-01,5.17,9.63,0.97,16820.71
140052,2025-07-01,4.71,9.66,1.74,17162.53
140118,2024-01-01,6.04,11.91,7.58,12997.81
140118,2024-04-01,5.58,11.15,4.57,12785.86
140118,2024-07-01,5.83,11.11,5.94,12920.17
140118,2024-10-01,6.31,11.68,3.7,13531.48
140118,2025-01-01,6.42,11.3,5.1,12530.77
140118,2025-04-01,6.7,11.91,2.34,12156.66
140118,2025-07-01,6.83,12.38,3.08,12714.82
140191,2024-01-01,3.38,5.52,0.0,12139.81
140191,2024-04-01,3.79,5.68,0.45,11988.3
140191,2024-07-01,4.01,5.08,0.49,12035.89
140191,2024-10-01,4.34,5.12,0.0,11971.99
140191,2025-01-01,4.22,5.7,0.67,12359.74
140191,2025-04-01,4.23,5.18,0.78,12485.28
140191,2025-07-01,4.16,6.21,0.87,12653.77
140210,2024-01-01,6.89,11.49,14.46,11329.15
140210,2024-04-01,7.41,11.08,13.5,10946.82
140210,2024-07-01,6.97,11.05,11.76,10903.48
140210,2024-10-01,7.11,11.86,12.87,11067.04
140210,2025-01-01,7.62,11.91,12.53,10685.7
140210,2025-04-01,7.88,11.36,13.59,10357.09
140210,2025-07-01,8.23,12.07,12.8,10491.34
140258,2024-01-01,6.39,8.38,1.64,8549.57
140258,2024-04-01,7.3,9.39,1.02,9178.68
140258,2024-07-01,6.95,9.01,0.58,9063.01
140258,2024-10-01,6.92,8.52,3.08,9677.09
140258,2025-01-01,6.76,8.4,2.22,8988.71
140258,2025-04-01,7.19,9.09,1.35,8746.05
140258,2025-07-01,7.7,9.29,3.0,8519.55
140286,2024-01-01,3.13,10.48,14.55,18774.99
140286,2024-04-01,2.77,10.75,16.8,18108.02
140286,2024-07-01,3.36,9.82,17.89,18597.3
140286,2024-10-01,3.01,10.24,17.28,18960.52
140286,2025-01-01,3.09,10.4,17.36,18111.06
140286,2025-04-01,3.44,10.4,15.04,17927.39
140286,2025-07-01,3.36,10.48,13.19,17902.77
150069,2024-01-01,3.5,9.76,4.34,9169.6
150069,2024-04-01,3.18,10.09,4.79,9483.84
150069,2024-07-01,3.49,9.64,5.6,9492.38
150069,2024-10-01,3.63,10.05,5.66,9373.79
150069,2025-01-01,3.62,9.95,5.73,10236.79
150069,2025-04-01,3.79,9.49,5.72,10125.72
150069,2025-07-01,3.83,10.06,5.41,9343.85
150089,2024-01-01,4.95,5.26,9.82,12137.7
150089,2024-04-01,5.61,5.32,9.39,11726.22
150089,2024-07-01,6.09,5.07,8.24,11630.43
150089,2024-10-01,5.37,5.67,8.62,11308.4
150089,2025-01-01,6.09,4.89,10.31,11968.07
150089,2025-04-01,6.31,5.44,8.32,11124.64
150089,2025-07-01,6.2,5.44,7.37,11364.6
150128,2024-01-01,4.81,10.79,9.38,11255.27
150128,2024-04-01,5.09,11.11,8.64,11082.72
150128,2024-07-01,5.07,11.29,8.67,11539.94
150128,2024-10-01,5.32,10.81,6.59,11203.11
150128,2025-01-01,5.5,11.01,8.19,10579.99
150128,2025-04-01,6.35,11.64,7.84,10531.88
150128,2025-07-01,5.29,11.24,5.65,11526.93
160089,2024-01-01,3.71,8.78,9.4,10787.83
160089,2024-04-01,3.13,8.59,9.46,10622.78
160089,2024-07-01,3.81,8.01,8.3,10922.11
160089,2024-10-01,3.61,8.91,10.04,11348.82
160089,2025-01-01,3.82,8.72,9.3,10953.21
160089,2025-04-01,4.1,9.31,8.73,11024.65
160089,2025-07-01,3.95,8.48,9.99,11014.48
161377,2024-01-01,3.69,9.18,0.0,15220.17
161377,2024-04-01,3.59,9.96,0.8,15461.78
161377,2024-07-01,3.51,9.78,0.81,15605.22
161377,2024-10-01,3.62,9.55,0.65,15224.6
161377,2025-01-01,4.21,9.75,0.99,15500.01
161377,2025-04-01,4.3,9.89,0.88,14706.98
161377,2025-07-01,3.82,10.42,0.86,15697.86
170166,2024-01-01,3.82,11.12,3.01,13447.54
170166,2024-04-01,4.13,11.82,1.19,12836.49
170166,2024-07-01,4.38,11.8,1.18,13447.94
170166,2024-10-01,4.11,11.46,3.25,13775.93
170166,2025-01-01,4.74,12.89,0.2,12639.57
170166,2025-04-01,4.2,11.65,1.57,12802.3
170166,2025-07-01,4.58,12.31,2.33,13487.72
171373,2024-01-01,5.07,7.34,11.68,9781.47
171373,2024-04-01,6.09,7.66,10.63,9085.68
171373,2024-07-01,5.89,6.83,11.15,9623.93
171373,2024-10-01,5.72,7.37,10.91,9683.62
171373,2025-01-01,6.4,7.53,10.4,9523.26
171373,2025-04-01,6.14,7.98,11.6,10101.87
171373,2025-07-01,6.27,7.78,10.39,9354.08
171382,2024-01-01,5.71,10.65,11.56,14457.09
171382,2024-04-01,6.63,11.24,11.58,13646.27
171382,2024-07-01,6.37,10.93,9.82,13939.51
171382,2024-10-01,6.01,11.26,11.87,14005.22
171382,2025-01-01,6.44,11.65,9.79,13296.66
171382,2025-04-01,6.38,11.99,9.15,13837.85
171382,2025-07-01,6.09,12.06,8.78,14063.53
180010,2024-01-01,4.68,9.07,16.64,19123.33
180010,2024-04-01,4.82,8.59,15.39,18775.06
180010,2024-07-01,4.97,9.64,15.65,17363.21
180010,2024-10-01,5.36,9.23,13.21,18654.03
180010,2025-01-01,5.38,9.61,15.33,18552.04
180010,2025-04-01,5.83,9.94,12.97,18143.74
180010,2025-07-01,5.7,9.54,15.39,18673.09
180079,2024-01-01,6.16,9.83,1.17,7838.92
180079,2024-04-01,7.0,10.91,2.86,7706.75
180079,2024-07-01,6.88,11.49,1.59,7688.76
180079,2024-10-01,6.81,11.26,3.74,7665.0
180079,2025-01-01,7.33,11.63,1.48,6366.41
180079,2025-04-01,6.61,11.85,1.61,7989.44
180079,2025-07-01,6.72,11.54,1.38,7325.3
180080,2024-01-01,6.52,11.78,0.0,13869.86
180080,2024-04-01,6.03,11.91,0.1,14731.43
180080,2024-07-01,6.54,12.31,0.74,14104.67
180080,2024-10-01,5.72,12.26,1.08,14838.67
180080,2025-01-01,7.12,11.98,0.39,13976.25
180080,2025-04-01,7.33,12.84,0.34,13349.49
180080,2025-07-01,6.6,12.48,0.6,14628.03
190116,2024-01-01,6.59,9.93,2.03,13046.77
190116,2024-04-01,6.84,9.92,0.0,13596.49
190116,2024-07-01,7.0,9.54,1.89,12833.91
190116,2024-10-01,6.82,9.93,0.72,13348.97
190116,2025-01-01,7.19,10.28,2.12,13571.11
190116,2025-04-01,6.95,9.96,1.4,13314.65
190116,2025-07-01,6.95,10.32,2.66,12928.88
190144,2024-01-01,6.02,9.92,8.82,13658.21
190144,2024-04-01,6.13,10.88,11.6,14906.85
190144,2024-07-01,6.1,11.59,8.73,14140.94
190144,2024-10-01,6.2,10.98,9.08,13345.08
190144,2025-01-01,6.69,11.12,9.9,13891.03
190144,2025-04-01,6.6,11.56,12.22,13823.2
190144,2025-07-01,6.79,11.67,8.87,13344.64
190145,2024-01-01,6.74,10.86,7.67,13331.39
190145,2024-04-01,6.68,11.2,8.69,13670.77
190145,2024-07-01,7.3,11.96,9.22,13641.38
190145,2024-10-01,7.19,12.05,8.1,13745.9
190145,2025-01-01,7.08,12.23,8.54,14548.69
190145,2025-04-01,7.37,12.07,8.52,13672.65
190145,2025-07-01,7.8,12.68,8.43,13883.99
200033,2024-01-01,3.82,6.43,4.74,14108.18
200033,2024-04-01,3.87,7.63,5.67,14198.25
200033,2024-07-01,4.29,7.47,5.98,13479.43
200033,2024-10-01,4.3,7.49,5.78,13624.3
200033,2025-01-01,3.95,7.99,5.42,12969.71
200033,2025-04-01,4.49,7.49,2.96,13925.71
200033,2025-07-01,4.17,7.51,5.74,13397.97
200018,2024-01-01,5.05,7.47,12.2,17475.33
200018,2024-04-01,5.08,8.0,13.22,17656.28
200018,2024-07-01,4.87,7.82,15.29,16968.85
200018,2024-10-01,4.72,7.97,12.56,16553.48
200018,2025-01-01,5.13,7.36,13.55,17937.54
200018,2025-04-01,5.52,8.18,13.76,17926.64
200018,2025-07-01,5.25,8.32,12.6,16482.19
201312,2024-01-01,4.15,6.79,0.67,12205.83
201312,2024-04-01,4.69,6.38,2.42,12579.99
201312,2024-07-01,4.46,7.14,1.51,13146.71
201312,2024-10-01,4.59,6.56,3.55,12973.59
201312,2025-01-01,4.14,6.64,2.6,12940.88
201312,2025-04-01,4.67,6.8,2.75,12623.98
201312,2025-07-01,4.96,6.74,0.31,12185.46
220010,2024-01-01,3.14,8.33,7.73,14848.35
220010,2024-04-01,3.21,9.65,7.56,14532.27
220010,2024-07-01,3.57,8.97,7.92,15267.2
220010,2024-10-01,3.37,9.23,8.0,14409.36
220010,2025-01-01,3.54,9.74,8.95,14726.11
220010,2025-04-01,3.76,9.22,8.16,14651.2
220010,2025-07-01,3.37,10.03,7.25,15369.15
220171,2024-01-01,3.86,9.16,17.48,12230.75
220171,2024-04-01,3.54,9.48,17.6,12190.42
220171,2024-07-01,3.69,9.14,16.37,12441.0
220171,2024-10-01,3.81,9.73,15.79,12559.76
220171,2025-01-01,3.97,10.0,15.86,12381.29
220171,2025-04-01,4.29,9.31,16.2,12655.23
220171,2025-07-01,4.36,9.78,13.91,11921.5
221300,2024-01-01,4.6,5.18,3.69,15402.66
221300,2024-04-01,5.31,5.31,4.37,14333.0
221300,2024-07-01,5.0,5.6,5.08,14956.67
221300,2024-10-01,5.37,4.36,4.11,14580.02
221300,2025-01-01,5.56,5.39,2.59,14319.88
221300,2025-04-01,5.52,5.52,4.69,14206.56
221300,2025-07-01,5.93,4.91,3.75,14152.42
230110,2024-01-01,4.73,11.03,8.66,16215.76
230110,2024-04-01,5.16,11.27,6.56,16983.93
230110,2024-07-01,5.29,11.94,5.83,15153.99
230110,2024-10-01,5.86,12.2,6.05,15625.78
230110,2025-01-01,5.74,11.81,4.76,15624.38
230110,2025-04-01,5.48,12.29,6.58,16187.38
230110,2025-07-01,5.69,11.61,5.57,16049.87
230132,2024-01-01,4.14,10.97,13.83,11606.8
230132,2024-04-01,3.84,11.66,13.55,11589.2
230132,2024-07-01,3.82,11.37,12.06,11804.09
230132,2024-10-01,4.29,10.99,12.47,11464.31
230132,2025-01-01,4.03,11.58,12.09,11216.89
230132,2025-04-01,4.5,11.41,12.49,11312.24
230132,2025-07-01,4.23,11.18,12.63,11878.13
230197,2024-01-01,5.1,10.98,0.02,13160.51
230197,2024-04-01,5.15,11.58,0.1,12711.38
230197,2024-07-01,5.71,11.98,0.0,13210.38
230197,2024-10-01,5.35,11.81,0.5,14010.58
230197,2025-01-01,5.43,12.79,0.0,13579.52
230197,2025-04-01,5.6,12.21,0.48,13406.3
230197,2025-07-01,6.18,12.17,0.41,13412.86
230269,2024-01-01,3.04,11.68,11.2,16052.63
230269,2024-04-01,3.73,11.6,9.19,16262.69
